seed,scenario,t,mean,var,mean_rm,var_rm,mean_slope,var_slope,persistent_variance,drift_confirmed,breach,drift_mark,collapse,sentinel_fired
17,stable,21,1.0038078657099636,0.0015459694544104478,1.0020686675884654,0.0013273364029645395,0.00034134685427078537,0.00010231024085294587,0,0,0,0,0,0
17,stable,22,1.0050452371218843,0.001692811613955429,1.0025599365297202,0.001422213124628106,0.000491268941254841,9.487672166356661e-05,0,0,0,0,0,0
17,stable,23,1.0043832930069712,0.0017563904997386264,1.0031233251327696,0.0015284050228019357,0.0005633886030493862,0.00010619189817382964,0,0,0,0,0,0
17,stable,24,1.0037383874985413,0.0018689534532839189,1.0036163340101005,0.0016171594308824124,0.0004930088773309471,8.875440808047666e-05,0,0,0,0,0,0
17,stable,25,1.0033739646220619,0.0020973852501120194,1.0038538309811327,0.0017273197702642835,0.00023749697103214729,0.00011016033938187112,0,0,0,0,0,0
17,stable,26,1.0043547629711729,0.002093842101974082,1.0041172518217658,0.0018425587289124204,0.00026342084063313287,0.00011523895864813693,0,0,0,0,0,0
17,stable,27,1.0036741800074165,0.002357558418424916,1.0040949708713411,0.0019778235562481652,-2.2280950424669044e-05,0.0001352648273357448,0,0,0,0,0,0
17,stable,28,1.0028284271459216,0.002399772332394499,1.0037255025420142,0.002095650342654677,-0.0003694683293269385,0.00011782678640651165,0,0,0,0,0,0
17,stable,29,1.0039626515649853,0.0025038981347601024,1.0036553956350165,0.0022202349484915893,-7.010690699771338e-05,0.0001245846058369124,0,0,0,0,0,0
17,stable,30,1.0019739246322759,0.002528111483599159,1.003361318490639,0.0023300946202107964,-0.00029407714437756916,0.00010985967171920708,0,0,0,0,0,0
17,stable,31,1.0008399837497919,0.002631238488209722,1.0029389883452609,0.0024190701598937464,-0.00042233014537806923,8.897553968295006e-05,0,0,0,0,0,0
17,stable,32,1.0009417666879434,0.002701752128935618,1.002370155631389,0.002520388497720669,-0.0005688327138717586,0.00010131833782692267,0,0,0,0,0,0
17,stable,33,1.0002014552625011,0.0026044014806576904,1.0017913681739032,0.0025615290080927985,-0.000578787457485852,4.114051037212938e-05,0,0,0,0,0,0
17,stable,34,1.0010578325671164,0.002621131761695648,1.0014962690774356,0.0025984222463096567,-0.00029509909646763255,3.6893238216858214e-05,0,0,0,0,0,0
17,stable,35,1.0019132638652357,0.003025641482185165,1.001154704460811,0.0026853794708805,-0.00034156461662471216,8.695722457084318e-05,0,0,0,0,0,0
17,stable,36,1.0000690584111125,0.0031780105490782375,1.0008372267572836,0.00279369598179368,-0.0003174777035273024,0.00010831651091318005,0,0,0,0,0,0
17,stable,37,0.9972809842550752,0.0032092557659487513,1.0002440601748308,0.0028900321947501854,-0.0005931665824527865,9.633621295650555e-05,0,0,0,0,0,0
17,stable,38,1.000577212107049,0.0035130859524175446,1.000183301078015,0.003025254498663839,-6.075909681579894e-05,0.00013522230391365374,0,0,0,0,0,0
17,stable,39,0.9997502417437587,0.0036329908011192708,1.0001080988248914,0.0031966860520741026,-7.52022531236296e-05,0.00017143155341026346,0,0,0,0,0,0
17,stable,40,0.998577226530293,0.003958009693794218,0.9996946644854208,0.003419499040757198,-0.0004134343394706086,0.0002228129886830952,0,0,0,0,0,0
17,stable,41,1.000724038664386,0.004399956208848937,0.9994964602852793,0.00364855149520116,-0.0001982042001414941,0.00022905245444396205,0,0,0,0,0,0
17,stable,42,1.0025822820834744,0.004996887092380755,0.9999153308973394,0.00395169758575158,0.0004188706120601404,0.0003031460905504198,0,0,0,0,0,0
17,stable,43,1.0031030580572766,0.00503643571917916,1.0008856765310397,0.004256227577956647,0.0009703456337002425,0.00030452999220506767,0,0,0,0,0,0
17,stable,44,1.0036753999942971,0.005364742024434937,1.0014020411789142,0.00456483692329288,0.0005163646478745232,0.0003086093453362323,0,0,0,0,0,0
17,stable,45,1.0027243173972429,0.005635876529767534,1.001897720454495,0.004898651211400924,0.000495679275580807,0.00033381428810804435,0,0,0,0,0,0
17,stable,46,1.0040556861197796,0.005646882414918398,1.002810797052743,0.005180129998254953,0.0009130765982479083,0.0002814787868540289,0,0,0,0,0,0
17,stable,47,1.004750843161988,0.005556864082293328,1.0034819311356764,0.005372947977162351,0.0006711340829335111,0.00019281797890739836,0,0,0,0,0,0
17,stable,48,1.0043975498724265,0.005864054039033084,1.0037844757671686,0.005517475801604406,0.00030254463149215205,0.00014452782444205475,0,0,0,0,0,0
17,stable,49,1.0064877439603468,0.0057281567913031965,1.0043485900843467,0.0056327626469584125,0.0005641143171781771,0.00011528684535400645,0,0,0,0,0,0
17,stable,50,1.0066712411826382,0.005763394077688028,1.0048478969490702,0.005699204655833928,0.0004993068647234367,6.644200887551566e-05,0,0,0,0,0,0
17,stable,51,1.006579122951093,0.005658902703366941,1.0054903645413786,0.005703042351433829,0.00064246759230846,3.8376955999010545e-06,0,0,0,0,0,0
17,stable,52,1.0067679277499937,0.0056539432468578595,1.005942404813081,0.005704219156757073,0.0004520402717023142,1.1768053232441567e-06,0,0,0,0,0,0
17,stable,53,1.006399891700052,0.005691290230685134,1.0062172462360917,0.005726623514822373,0.0002748414230107077,2.2404358065299806e-05,0,0,0,0,0,0
17,stable,54,1.0066257222588686,0.0056532541658596775,1.006588608300499,0.0056914902026268055,0.0003713620644072435,-3.51333121955677e-05,0,0,0,0,0,0
17,stable,55,1.0051942405544336,0.005579385302750845,1.0063730243995133,0.005666694954534747,-0.00021558390098563862,-2.479524809205838e-05,0,0,0,0,0,0
17,stable,56,1.0071660218396605,0.005658715146480491,1.0064554878423502,0.005649248466000158,8.246344283691087e-05,-1.7446488534589473e-05,0,0,0,0,0,0
17,stable,57,1.0074975980314282,0.005785225220105877,1.006608567022406,0.00567030221878998,0.00015307918005591503,2.105375278982271e-05,0,0,0,0,0,0
17,stable,58,1.0082732130881638,0.005876042556977396,1.0068594479121011,0.00570731877047657,0.00025088088969504874,3.70165516865896e-05,0,0,0,0,0,0
17,stable,59,1.009228647684842,0.006078455484495138,1.0073309072428993,0.005771846312778238,0.00047145933079817404,6.452754230166797e-05,0,0,0,0,0,0
17,stable,60,1.0126336541711474,0.00621709564120115,1.0083322292282793,0.005865819892001817,0.0010013219853799438,9.397357922357862e-05,0,0,0,0,0,0
17,stable,61,1.0128315489838837,0.006231677244039645,1.009605113966521,0.00597453521554995,0.0012728847382417197,0.00010871532354813328,0,0,0,0,0,0
17,stable,62,1.0113561198531378,0.0066784315329865285,1.0103034636354338,0.006144487946634289,0.000698349668912801,0.00016995273108433902,0,0,0,0,0,0
17,stable,63,1.011094680044199,0.006724003678005118,1.010902977304229,0.006300951022950829,0.0005995136687952929,0.0001564630763165398,0,0,0,0,0,0
17,stable,64,1.0118678943847412,0.0066939415687325456,1.0115020908536583,0.006437267524910022,0.0005991135494292088,0.000136316501959193,0,0,0,0,0,0
17,stable,65,1.0111572769700574,0.0068347659318076055,1.011823529067861,0.006563319266128764,0.00032143821420271834,0.00012605174121874205,0,0,0,0,0,0
17,stable,66,1.0129271887095839,0.0070540804345713215,1.0118724514909339,0.006702816731690461,4.892242307286132e-05,0.0001394974655616974,0,0,0,0,0,0
17,stable,67,1.014944569404501,0.007256954000248513,1.0122246215610367,0.006873696191058606,0.00035217007010279744,0.00017087945936814473,0,0,0,0,0,0
17,stable,68,1.0144508134310668,0.007025952546399279,1.0127404038240249,0.00693161635996073,0.000515782262988207,5.7920168902124425e-05,0,0,0,0,0,0
17,stable,69,1.0153481596123433,0.006784976317425843,1.0134493170853822,0.006941778466530851,0.0007089132613573579,1.0162106570120975e-05,0,0,0,0,0,0
17,stable,70,1.0162493233907672,0.0068091646201846245,1.014179555253053,0.006960982308439531,0.0007302381676708158,1.920384190867968e-05,0,0,0,0,0,0
17,stable,71,1.0160699389530345,0.007128641113148384,1.014998332250216,0.007009961505329661,0.0008187769971630399,4.897919689013028e-05,0,0,0,0,0,0
17,stable,72,1.01689867230938,0.007381407226474962,1.0156602461835154,0.007064515970646935,0.0006619139332992852,5.455446531727349e-05,0,0,0,0,0,0
17,stable,73,1.0172488467326277,0.007164025223163049,1.0160442924048698,0.007049027841132691,0.00038404622135446154,-1.548812951424408e-05,0,0,0,0,0,0
17,stable,74,1.0179430934069673,0.006792740061543985,1.01662633906752,0.007010159093656807,0.0005820466626502707,-3.8868747475883335e-05,0,0,0,0,0,0
17,stable,75,1.0196057371601062,0.007133962053724686,1.0173359353254805,0.007068323383039948,0.0007095962579604098,5.816428938314102e-05,0,0,0,0,0,0
17,stable,76,1.019610640352832,0.007334334888085784,1.0178961548191579,0.007155851761023475,0.0005602194936773497,8.752837798352633e-05,0,0,0,0,0,0
17,stable,77,1.0195253384272778,0.007296258963146626,1.0184720547315318,0.0071837880693565144,0.000575899912373945,2.7936308333039762e-05,0,0,0,0,0,0
17,stable,78,1.019233707065026,0.007291913923473494,1.0188612271908062,0.007168872518856271,0.0003891724592743895,-1.4915550500243374e-05,0,0,0,0,0,0
17,stable,79,1.0187792783006064,0.007330229056758024,1.0191162991188027,0.007196573157788766,0.0002550719279965641,2.770063893249488e-05,0,0,0,0,0,0
17,stable,80,1.0184266758236684,0.007383468900586035,1.0191968961882527,0.007295027964295774,8.059706944996137e-05,9.84548065070083e-05,0,0,0,0,0,0
17,stable,81,1.0189914223737522,0.007114670672042819,1.0190945103905271,0.007291812734015464,-0.00010238579772559042,-3.215230280310434e-06,0,0,0,0,0,0
17,stable,82,1.0200999045965409,0.007199641394607817,1.0191760544311452,0.007269363818435803,8.154404061810894e-05,-2.244891557966113e-05,0,0,0,0,0,0
17,stable,83,1.0202547274461469,0.007514402886899123,1.0192976192676235,0.0073057211390612185,0.00012156483647829397,3.6357320625415857e-05,0,0,0,0,0,0
17,stable,84,1.018223342244863,0.00790751501549809,1.0191292251309296,0.007408321321065318,-0.00016839413669389458,0.00010260018200409973,0,0,0,0,0,0
17,stable,85,1.0171046901659138,0.007799111359441618,1.0188501271084807,0.007486468371512584,-0.00027909802244896476,7.814705044726592e-05,0,0,0,0,0,0
17,stable,86,1.0173620090977795,0.007580554184828494,1.018672682654166,0.007519315918886327,-0.00017744445431455702,3.28475473737426e-05,0,0,0,0,0,0
17,stable,87,1.0177572927794754,0.007682903114473444,1.0184669943884532,0.007614021325958097,-0.0002056882657128778,9.470540707177e-05,0,0,0,0,0,0
17,stable,88,1.0156676595104621,0.007840658871478974,1.0177282868741069,0.00772085757210329,-0.0007387075143463484,0.00010683624614519355,0,0,0,0,0,0
17,stable,89,1.01496784575731,0.007993744261960123,1.0168471399259673,0.007800747801280123,-0.0008811469481395662,7.989022917683289e-05,0,0,0,0,0,0
17,stable,90,1.0159995470770207,0.007839687240158875,1.0164765073979936,0.007789443172056922,-0.0003706325279737577,-1.1304629223201496e-05,0,0,0,0,0,0
17,stable,91,1.0183778073189875,0.007925974539332378,1.0166886935901724,0.007810587035372049,0.000212186192178887,2.114386331512723e-05,0,0,0,0,0,0
17,stable,92,1.0188172789107486,0.007913508156492605,1.0169312385590008,0.007866079363982733,0.00024254496882836207,5.549232861068367e-05,0,0,0,0,0,0
17,stable,93,1.0203838939502539,0.007922864871092738,1.0173690054207971,0.007906072990085949,0.0004377668617963071,3.999362610321647e-05,0,0,0,0,0,0
17,stable,94,1.018191129909927,0.008405873860168077,1.017789583820708,0.008000275488200799,0.0004205783999109425,9.420249811484954e-05,0,0,0,0,0,0
