system,step,shared_future,fragmentation,coherence,survivability
competitive,341,0.0,1.0,1.0,0.74
competitive,342,0.0,1.0,1.0,0.74
competitive,343,0.0,1.0,1.0,0.74
competitive,344,0.0,1.0,1.0,0.74
competitive,345,0.0,1.0,1.0,0.74
competitive,346,0.0,1.0,1.0,0.74
competitive,347,0.0,1.0,1.0,0.74
competitive,348,0.0,1.0,1.0,0.74
competitive,349,0.0,1.0,1.0,0.74
competitive,350,0.0,1.0,1.0,0.74
competitive,351,0.0,1.0,1.0,0.74
competitive,352,0.0,1.0,1.0,0.74
competitive,353,0.0,1.0,1.0,0.74
competitive,354,0.0,1.0,1.0,0.74
competitive,355,0.0,1.0,1.0,0.74
competitive,356,0.0,1.0,1.0,0.74
competitive,357,0.0,1.0,1.0,0.74
competitive,358,0.0,1.0,1.0,0.74
competitive,359,0.0,1.0,1.0,0.74
competitive,360,0.0,1.0,1.0,0.74
competitive,361,0.0,1.0,1.0,0.74
competitive,362,0.0,1.0,1.0,0.74
competitive,363,0.0,1.0,1.0,0.74
competitive,364,0.0,1.0,1.0,0.74
competitive,365,0.0,1.0,1.0,0.74
competitive,366,0.0,1.0,1.0,0.74
competitive,367,0.0,1.0,1.0,0.74
competitive,368,0.0,1.0,1.0,0.74
competitive,369,0.0,1.0,1.0,0.74
competitive,370,0.0,1.0,1.0,0.74
competitive,371,0.0,1.0,1.0,0.74
competitive,372,0.0,1.0,1.0,0.74
competitive,373,0.0,1.0,1.0,0.74
competitive,374,0.0,1.0,1.0,0.74
competitive,375,0.0,1.0,1.0,0.74
competitive,376,0.0,1.0,1.0,0.74
competitive,377,0.0,1.0,1.0,0.74
competitive,378,0.0,1.0,1.0,0.74
competitive,379,0.0,1.0,1.0,0.74
competitive,380,0.0,1.0,1.0,0.74
competitive,381,0.0,1.0,1.0,0.74
competitive,382,0.0,1.0,1.0,0.74
competitive,383,0.0,1.0,1.0,0.74
competitive,384,0.0,1.0,1.0,0.74
competitive,385,0.0,1.0,1.0,0.74
competitive,386,0.0,1.0,1.0,0.74
competitive,387,0.0,1.0,1.0,0.74
competitive,388,0.0,1.0,1.0,0.74
competitive,389,0.0,1.0,1.0,0.74
competitive,390,0.0,1.0,1.0,0.74
competitive,391,0.0,1.0,1.0,0.74
competitive,392,0.0,1.0,1.0,0.74
competitive,393,0.0,1.0,1.0,0.74
competitive,394,0.0,1.0,1.0,0.74
competitive,395,0.0,1.0,1.0,0.74
competitive,396,0.0,1.0,1.0,0.74
competitive,397,0.0,1.0,1.0,0.74
competitive,398,0.0,1.0,1.0,0.74
competitive,399,0.0,1.0,1.0,0.74
competitive,400,-0.05,1.06,1.0,0.7133
