scarcity,fragmentation,visibility,coupling,antifragile_score,unification_score,margin_unification_minus_antifragile,winner,near_boundary
0.0,0.0,0.35,0.0,0.151579,0.424413,0.272834,unification,False
0.0,0.0,0.35,0.05,0.1474,0.473202,0.325802,unification,False
0.0,0.0,0.35,0.1,0.078582,0.5532,0.474618,unification,False
0.0,0.0,0.35,0.15,0.148184,0.569153,0.42097,unification,False
0.0,0.0,0.35,0.2,0.109096,0.661787,0.552691,unification,False
0.0,0.0,0.35,0.25,0.068467,0.706178,0.637711,unification,False
0.0,0.0,0.35,0.3,0.044139,0.827501,0.783363,unification,False
0.0,0.0,0.35,0.35,0.049566,0.900808,0.851241,unification,False
0.0,0.0,0.35,0.4,0.046935,0.930977,0.884042,unification,False
0.0,0.0,0.35,0.45,0.043598,0.993475,0.949876,unification,False
0.0,0.0,0.35,0.5,0.0032,1.037586,1.034386,unification,False
0.0,0.0,0.35,0.55,-0.033336,1.090064,1.123401,unification,False
0.0,0.0,0.35,0.6,-0.02776,1.140542,1.168303,unification,False
0.0,0.0,0.35,0.65,-0.050441,1.227734,1.278175,unification,False
0.0,0.0,0.35,0.7,-0.058219,1.313772,1.371991,unification,False
0.0,0.0,0.35,0.75,-0.059484,1.375769,1.435253,unification,False
0.0,0.0,0.35,0.8,-0.161801,1.418326,1.580127,unification,False
0.0,0.0,0.35,0.85,-0.1693,1.469543,1.638843,unification,False
0.0,0.0,0.35,0.9,-0.119719,1.560938,1.680658,unification,False
0.0,0.0,0.35,0.95,-0.192473,1.582157,1.77463,unification,False
0.0,0.0,0.35,1.0,-0.19168,1.639586,1.831266,unification,False
0.0,0.0,0.4,0.0,0.163221,0.4878,0.324579,unification,False
0.0,0.0,0.4,0.05,0.191383,0.557719,0.366336,unification,False
0.0,0.0,0.4,0.1,0.087718,0.612609,0.524891,unification,False
0.0,0.0,0.4,0.15,0.129301,0.677847,0.548546,unification,False
0.0,0.0,0.4,0.2,0.150405,0.678419,0.528014,unification,False
0.0,0.0,0.4,0.25,0.077722,0.807273,0.72955,unification,False
0.0,0.0,0.4,0.3,0.03546,0.891899,0.856439,unification,False
0.0,0.0,0.4,0.35,0.066709,0.938665,0.871956,unification,False
0.0,0.0,0.4,0.4,0.025726,1.000344,0.974618,unification,False
0.0,0.0,0.4,0.45,0.049212,1.048322,0.99911,unification,False
0.0,0.0,0.4,0.5,0.01086,1.111759,1.100899,unification,False
0.0,0.0,0.4,0.55,-0.034084,1.163812,1.197895,unification,False
0.0,0.0,0.4,0.6,-0.033813,1.239585,1.273398,unification,False
0.0,0.0,0.4,0.65,-0.022504,1.266037,1.288541,unification,False
0.0,0.0,0.4,0.7,-0.068125,1.392036,1.460162,unification,False
0.0,0.0,0.4,0.75,-0.10109,1.396944,1.498033,unification,False
0.0,0.0,0.4,0.8,-0.094942,1.50111,1.596052,unification,False
0.0,0.0,0.4,0.85,-0.117214,1.575724,1.692938,unification,False
0.0,0.0,0.4,0.9,-0.11358,1.626046,1.739626,unification,False
0.0,0.0,0.4,0.95,-0.138647,1.725691,1.864338,unification,False
0.0,0.0,0.4,1.0,-0.175129,1.679912,1.855041,unification,False
0.0,0.0,0.45,0.0,0.242606,0.528558,0.285951,unification,False
0.0,0.0,0.45,0.05,0.187697,0.635239,0.447542,unification,False
0.0,0.0,0.45,0.1,0.127444,0.633709,0.506265,unification,False
0.0,0.0,0.45,0.15,0.109968,0.707647,0.597679,unification,False
0.0,0.0,0.45,0.2,0.143491,0.803105,0.659614,unification,False
0.0,0.0,0.45,0.25,0.121907,0.817181,0.695274,unification,False
0.0,0.0,0.45,0.3,0.039747,0.916359,0.876611,unification,False
0.0,0.0,0.45,0.35,0.068206,0.988985,0.920779,unification,False
0.0,0.0,0.45,0.4,0.080049,1.043456,0.963407,unification,False
0.0,0.0,0.45,0.45,0.064003,1.10823,1.044227,unification,False
0.0,0.0,0.45,0.5,0.040752,1.147383,1.106632,unification,False
0.0,0.0,0.45,0.55,0.00551,1.232419,1.22691,unification,False
0.0,0.0,0.45,0.6,0.013013,1.280156,1.267143,unification,False
0.0,0.0,0.45,0.65,-0.011971,1.345854,1.357825,unification,False
0.0,0.0,0.45,0.7,-0.045439,1.435738,1.481177,unification,False
0.0,0.0,0.45,0.75,-0.109827,1.445088,1.554915,unification,False
0.0,0.0,0.45,0.8,-0.114555,1.48166,1.596214,unification,False
0.0,0.0,0.45,0.85,-0.111957,1.621236,1.733192,unification,False
0.0,0.0,0.45,0.9,-0.119622,1.669945,1.789567,unification,False
0.0,0.0,0.45,0.95,-0.10277,1.760692,1.863462,unification,False
0.0,0.0,0.45,1.0,-0.149228,1.82384,1.973068,unification,False
0.0,0.0,0.5,0.0,0.227303,0.579065,0.351762,unification,False
0.0,0.0,0.5,0.05,0.19264,0.625487,0.432847,unification,False
0.0,0.0,0.5,0.1,0.167797,0.71605,0.548253,unification,False
0.0,0.0,0.5,0.15,0.19259,0.830519,0.63793,unification,False
0.0,0.0,0.5,0.2,0.120445,0.859821,0.739375,unification,False
0.0,0.0,0.5,0.25,0.111486,0.924367,0.812881,unification,False
0.0,0.0,0.5,0.3,0.116723,0.929227,0.812505,unification,False
0.0,0.0,0.5,0.35,0.125707,1.022375,0.896668,unification,False
0.0,0.0,0.5,0.4,0.071652,1.073256,1.001604,unification,False
0.0,0.0,0.5,0.45,0.051143,1.173197,1.122054,unification,False
0.0,0.0,0.5,0.5,0.045269,1.233217,1.187948,unification,False
0.0,0.0,0.5,0.55,0.041548,1.320517,1.278968,unification,False
0.0,0.0,0.5,0.6,0.00643,1.313079,1.306648,unification,False
0.0,0.0,0.5,0.65,0.024181,1.404213,1.380032,unification,False
0.0,0.0,0.5,0.7,0.007865,1.484584,1.47672,unification,False
0.0,0.0,0.5,0.75,-0.040778,1.546219,1.586998,unification,False
0.0,0.0,0.5,0.8,-0.006225,1.651925,1.658149,unification,False
0.0,0.0,0.5,0.85,-0.070765,1.666505,1.73727,unification,False
0.0,0.0,0.5,0.9,-0.063094,1.703858,1.766952,unification,False
0.0,0.0,0.5,0.95,-0.099173,1.786853,1.886027,unification,False
0.0,0.0,0.5,1.0,-0.117152,1.829166,1.946318,unification,False
0.0,0.0,0.55,0.0,0.207761,0.608175,0.400415,unification,False
0.0,0.0,0.55,0.05,0.202065,0.711033,0.508968,unification,False
0.0,0.0,0.55,0.1,0.20517,0.833431,0.628261,unification,False
0.0,0.0,0.55,0.15,0.22265,0.823448,0.600798,unification,False
0.0,0.0,0.55,0.2,0.186193,0.899823,0.71363,unification,False
0.0,0.0,0.55,0.25,0.152891,0.977133,0.824242,unification,False
0.0,0.0,0.55,0.3,0.157979,1.026519,0.868539,unification,False
0.0,0.0,0.55,0.35,0.151596,1.068952,0.917355,unification,False
0.0,0.0,0.55,0.4,0.107658,1.224942,1.117283,unification,False
0.0,0.0,0.55,0.45,0.095577,1.25833,1.162753,unification,False
0.0,0.0,0.55,0.5,0.074788,1.299519,1.224731,unification,False
0.0,0.0,0.55,0.55,0.05358,1.34324,1.289659,unification,False
0.0,0.0,0.55,0.6,0.018013,1.420758,1.402745,unification,False
0.0,0.0,0.55,0.65,-0.001288,1.48914,1.490428,unification,False
0.0,0.0,0.55,0.7,0.029632,1.544163,1.514531,unification,False
0.0,0.0,0.55,0.75,-0.022156,1.608849,1.631005,unification,False
0.0,0.0,0.55,0.8,-0.040217,1.683389,1.723606,unification,False
0.0,0.0,0.55,0.85,-0.095785,1.71411,1.809895,unification,False
0.0,0.0,0.55,0.9,-0.11727,1.747623,1.864894,unification,False
0.0,0.0,0.55,0.95,-0.050903,1.86988,1.920783,unification,False
0.0,0.0,0.55,1.0,-0.120487,1.872437,1.992924,unification,False
0.0,0.0,0.6,0.0,0.195887,0.706413,0.510526,unification,False
0.0,0.0,0.6,0.05,0.31301,0.793372,0.480362,unification,False
0.0,0.0,0.6,0.1,0.221011,0.856627,0.635616,unification,False
0.0,0.0,0.6,0.15,0.178476,0.900067,0.721591,unification,False
0.0,0.0,0.6,0.2,0.202487,0.967847,0.765361,unification,False
0.0,0.0,0.6,0.25,0.20227,1.041116,0.838846,unification,False
