seed,scenario,detector,collapse_expected,warning,lead_time,verdict
11,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
11,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
11,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
11,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
12,stable_dynamic,gv_recoverability,False,,,QUIET
12,stable_dynamic,rolling_z_score,False,,,QUIET
12,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
12,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
12,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
12,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
12,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
12,critical_slowing_dynamic,rolling_z_score,True,,,MISS
12,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
12,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
12,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
12,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
13,stable_dynamic,gv_recoverability,False,,,QUIET
13,stable_dynamic,rolling_z_score,False,,,QUIET
13,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
13,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
13,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
13,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
13,critical_slowing_dynamic,gv_recoverability,True,780,20,EARLY_WARNING
13,critical_slowing_dynamic,rolling_z_score,True,,,MISS
13,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
13,abrupt_collapse_dynamic,gv_recoverability,True,820,-20,MISS
13,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
13,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
14,stable_dynamic,gv_recoverability,False,,,QUIET
14,stable_dynamic,rolling_z_score,False,,,QUIET
14,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
14,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
14,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
14,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
14,critical_slowing_dynamic,gv_recoverability,True,820,-20,MISS
14,critical_slowing_dynamic,rolling_z_score,True,,,MISS
14,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
14,abrupt_collapse_dynamic,gv_recoverability,True,840,-40,MISS
14,abrupt_collapse_dynamic,rolling_z_score,True,,,MISS
14,abrupt_collapse_dynamic,rolling_variance,True,101,699,EARLY_WARNING
15,stable_dynamic,gv_recoverability,False,,,QUIET
15,stable_dynamic,rolling_z_score,False,,,QUIET
15,stable_dynamic,rolling_variance,False,101,699,FALSE_POSITIVE
15,noisy_dynamic_recoverable,gv_recoverability,False,,,QUIET
15,noisy_dynamic_recoverable,rolling_z_score,False,,,QUIET
15,noisy_dynamic_recoverable,rolling_variance,False,101,699,FALSE_POSITIVE
15,critical_slowing_dynamic,gv_recoverability,True,800,0,MISS
15,critical_slowing_dynamic,rolling_z_score,True,,,MISS
15,critical_slowing_dynamic,rolling_variance,True,101,699,EARLY_WARNING
