threshold,seed,scenario,collapse_expected,warning,lead_time,verdict,min_gv,mean_gv
0.45,45,stable_dynamic,False,,,QUIET,0.9713,0.9946
0.45,45,noisy_dynamic_recoverable,False,,,QUIET,0.9176,0.9869
0.45,45,critical_slowing_dynamic,True,840,-40,MISS,0.277,0.7655
0.45,45,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8011
0.45,46,stable_dynamic,False,,,QUIET,0.9488,0.9869
0.45,46,noisy_dynamic_recoverable,False,,,QUIET,0.933,0.9831
0.45,46,critical_slowing_dynamic,True,840,-40,MISS,0.2784,0.7555
0.45,46,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7968
0.45,47,stable_dynamic,False,,,QUIET,0.9651,0.9893
0.45,47,noisy_dynamic_recoverable,False,,,QUIET,0.9219,0.9832
0.45,47,critical_slowing_dynamic,True,840,-40,MISS,0.2613,0.7602
0.45,47,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7996
0.45,48,stable_dynamic,False,,,QUIET,0.9702,0.9902
0.45,48,noisy_dynamic_recoverable,False,,,QUIET,0.9022,0.9856
0.45,48,critical_slowing_dynamic,True,820,-20,MISS,0.2782,0.752
0.45,48,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7998
0.45,49,stable_dynamic,False,,,QUIET,0.9512,0.9917
0.45,49,noisy_dynamic_recoverable,False,,,QUIET,0.9416,0.987
0.45,49,critical_slowing_dynamic,True,840,-40,MISS,0.2843,0.7601
0.45,49,abrupt_collapse_dynamic,True,860,-60,MISS,0.2968,0.7943
0.45,50,stable_dynamic,False,,,QUIET,0.9494,0.9921
0.45,50,noisy_dynamic_recoverable,False,,,QUIET,0.9288,0.9858
0.45,50,critical_slowing_dynamic,True,840,-40,MISS,0.3035,0.7647
0.45,50,abrupt_collapse_dynamic,True,860,-60,MISS,0.2932,0.7936
0.45,51,stable_dynamic,False,,,QUIET,0.9505,0.9942
0.45,51,noisy_dynamic_recoverable,False,,,QUIET,0.9263,0.9862
0.45,51,critical_slowing_dynamic,True,800,0,MISS,0.2682,0.7416
0.45,51,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8008
0.45,52,stable_dynamic,False,,,QUIET,0.9504,0.991
0.45,52,noisy_dynamic_recoverable,False,,,QUIET,0.9504,0.9864
0.45,52,critical_slowing_dynamic,True,820,-20,MISS,0.286,0.7487
0.45,52,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8026
0.45,53,stable_dynamic,False,,,QUIET,0.9482,0.9877
0.45,53,noisy_dynamic_recoverable,False,,,QUIET,0.9474,0.9875
0.45,53,critical_slowing_dynamic,True,860,-60,MISS,0.3443,0.7664
0.45,53,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7966
0.45,54,stable_dynamic,False,,,QUIET,0.9692,0.994
0.45,54,noisy_dynamic_recoverable,False,,,QUIET,0.9692,0.9953
0.45,54,critical_slowing_dynamic,True,860,-60,MISS,0.3277,0.7647
0.45,54,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8028
0.45,55,stable_dynamic,False,,,QUIET,0.9574,0.9883
0.45,55,noisy_dynamic_recoverable,False,,,QUIET,0.9574,0.9884
0.45,55,critical_slowing_dynamic,True,860,-60,MISS,0.3477,0.7647
0.45,55,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.798
0.45,56,stable_dynamic,False,,,QUIET,0.9706,0.9951
0.45,56,noisy_dynamic_recoverable,False,,,QUIET,0.9359,0.9895
0.45,56,critical_slowing_dynamic,True,840,-40,MISS,0.2604,0.7603
0.45,56,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8024
0.45,57,stable_dynamic,False,,,QUIET,0.9522,0.9918
0.45,57,noisy_dynamic_recoverable,False,,,QUIET,0.9331,0.9868
0.45,57,critical_slowing_dynamic,True,840,-40,MISS,0.3469,0.767
0.45,57,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.801
0.45,58,stable_dynamic,False,,,QUIET,0.9682,0.9921
0.45,58,noisy_dynamic_recoverable,False,,,QUIET,0.9307,0.9809
0.45,58,critical_slowing_dynamic,True,800,0,MISS,0.29,0.7481
0.45,58,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8001
0.45,59,stable_dynamic,False,,,QUIET,0.9515,0.9933
0.45,59,noisy_dynamic_recoverable,False,,,QUIET,0.9528,0.9907
0.45,59,critical_slowing_dynamic,True,840,-40,MISS,0.2918,0.7594
0.45,59,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8016
0.45,60,stable_dynamic,False,,,QUIET,0.9655,0.9936
0.45,60,noisy_dynamic_recoverable,False,,,QUIET,0.9016,0.9876
0.45,60,critical_slowing_dynamic,True,820,-20,MISS,0.2875,0.7522
0.45,60,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7999
0.45,61,stable_dynamic,False,,,QUIET,0.9484,0.989
0.45,61,noisy_dynamic_recoverable,False,,,QUIET,0.9104,0.9835
0.45,61,critical_slowing_dynamic,True,840,-40,MISS,0.2753,0.7587
0.45,61,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.796
0.45,62,stable_dynamic,False,,,QUIET,0.9675,0.9937
0.45,62,noisy_dynamic_recoverable,False,,,QUIET,0.9046,0.9844
0.45,62,critical_slowing_dynamic,True,820,-20,MISS,0.2836,0.7453
0.45,62,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8019
0.45,63,stable_dynamic,False,,,QUIET,0.9705,0.9948
0.45,63,noisy_dynamic_recoverable,False,,,QUIET,0.9598,0.9918
0.45,63,critical_slowing_dynamic,True,820,-20,MISS,0.2545,0.7574
0.45,63,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8014
0.45,64,stable_dynamic,False,,,QUIET,0.9701,0.994
0.45,64,noisy_dynamic_recoverable,False,,,QUIET,0.9388,0.9902
0.45,64,critical_slowing_dynamic,True,860,-60,MISS,0.2829,0.7616
0.45,64,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8037
0.45,65,stable_dynamic,False,,,QUIET,0.9483,0.9902
0.45,65,noisy_dynamic_recoverable,False,,,QUIET,0.9192,0.9847
0.45,65,critical_slowing_dynamic,True,800,0,MISS,0.2676,0.7372
0.45,65,abrupt_collapse_dynamic,True,860,-60,MISS,0.2949,0.7907
0.45,66,stable_dynamic,False,,,QUIET,0.9675,0.9951
0.45,66,noisy_dynamic_recoverable,False,,,QUIET,0.9652,0.9904
0.45,66,critical_slowing_dynamic,True,840,-40,MISS,0.35,0.7603
0.45,66,abrupt_collapse_dynamic,True,860,-60,MISS,0.2946,0.796
0.45,67,stable_dynamic,False,,,QUIET,0.9716,0.9938
0.45,67,noisy_dynamic_recoverable,False,,,QUIET,0.9285,0.9867
0.45,67,critical_slowing_dynamic,True,860,-60,MISS,0.35,0.7694
0.45,67,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8036
0.45,68,stable_dynamic,False,,,QUIET,0.9704,0.9916
0.45,68,noisy_dynamic_recoverable,False,,,QUIET,0.9282,0.9841
0.45,68,critical_slowing_dynamic,True,800,0,MISS,0.2689,0.7447
0.45,68,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8002
0.45,69,stable_dynamic,False,,,QUIET,0.9659,0.9944
0.45,69,noisy_dynamic_recoverable,False,,,QUIET,0.9593,0.9912
0.45,69,critical_slowing_dynamic,True,840,-40,MISS,0.3457,0.7582
0.45,69,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8053
0.45,70,stable_dynamic,False,,,QUIET,0.9498,0.9888
0.45,70,noisy_dynamic_recoverable,False,,,QUIET,0.9498,0.9882
0.45,70,critical_slowing_dynamic,True,820,-20,MISS,0.2688,0.7511
0.45,70,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8003
0.45,71,stable_dynamic,False,,,QUIET,0.9636,0.9919
0.45,71,noisy_dynamic_recoverable,False,,,QUIET,0.8965,0.9821
0.45,71,critical_slowing_dynamic,True,860,-60,MISS,0.3279,0.7718
0.45,71,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8023
0.45,72,stable_dynamic,False,,,QUIET,0.9488,0.9873
0.45,72,noisy_dynamic_recoverable,False,,,QUIET,0.9488,0.987
0.45,72,critical_slowing_dynamic,True,820,-20,MISS,0.2741,0.7478
0.45,72,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7967
0.45,73,stable_dynamic,False,,,QUIET,0.9502,0.9918
0.45,73,noisy_dynamic_recoverable,False,,,QUIET,0.9424,0.9879
0.45,73,critical_slowing_dynamic,True,820,-20,MISS,0.2617,0.757
0.45,73,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7978
0.45,74,stable_dynamic,False,,,QUIET,0.9674,0.991
0.45,74,noisy_dynamic_recoverable,False,,,QUIET,0.9644,0.9891
0.45,74,critical_slowing_dynamic,True,820,-20,MISS,0.2849,0.7563
0.45,74,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8004
0.45,75,stable_dynamic,False,,,QUIET,0.9471,0.9918
0.45,75,noisy_dynamic_recoverable,False,,,QUIET,0.9622,0.9905
0.45,75,critical_slowing_dynamic,True,840,-40,MISS,0.2687,0.7556
0.45,75,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7998
0.45,76,stable_dynamic,False,,,QUIET,0.9487,0.9923
0.45,76,noisy_dynamic_recoverable,False,,,QUIET,0.9487,0.987
0.45,76,critical_slowing_dynamic,True,840,-40,MISS,0.2803,0.7544
0.45,76,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8018
0.45,77,stable_dynamic,False,,,QUIET,0.9715,0.9919
0.45,77,noisy_dynamic_recoverable,False,,,QUIET,0.9534,0.9911
0.45,77,critical_slowing_dynamic,True,820,-20,MISS,0.2827,0.7529
0.45,77,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7998
0.45,78,stable_dynamic,False,,,QUIET,0.9439,0.9898
0.45,78,noisy_dynamic_recoverable,False,,,QUIET,0.9083,0.984
0.45,78,critical_slowing_dynamic,True,820,-20,MISS,0.2738,0.7524
0.45,78,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7988
0.45,79,stable_dynamic,False,,,QUIET,0.968,0.9919
0.45,79,noisy_dynamic_recoverable,False,,,QUIET,0.9479,0.9895
0.45,79,critical_slowing_dynamic,True,860,-60,MISS,0.35,0.7634
0.45,79,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.7988
0.45,80,stable_dynamic,False,,,QUIET,0.9482,0.9917
0.45,80,noisy_dynamic_recoverable,False,,,QUIET,0.9209,0.987
0.45,80,critical_slowing_dynamic,True,860,-60,MISS,0.2851,0.7676
0.45,80,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8017
0.45,81,stable_dynamic,False,,,QUIET,0.9657,0.9955
0.45,81,noisy_dynamic_recoverable,False,,,QUIET,0.8875,0.9857
0.45,81,critical_slowing_dynamic,True,820,-20,MISS,0.3137,0.7526
0.45,81,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8029
0.45,82,stable_dynamic,False,,,QUIET,0.9704,0.9928
0.45,82,noisy_dynamic_recoverable,False,,,QUIET,0.9505,0.9891
0.45,82,critical_slowing_dynamic,True,820,-20,MISS,0.2954,0.7508
0.45,82,abrupt_collapse_dynamic,True,880,-80,MISS,0.35,0.8001
0.45,83,stable_dynamic,False,,,QUIET,0.9484,0.99
0.45,83,noisy_dynamic_recoverable,False,,,QUIET,0.9581,0.9901
0.45,83,critical_slowing_dynamic,True,840,-40,MISS,0.35,0.7598
0.45,83,abrupt_collapse_dynamic,True,860,-60,MISS,0.294,0.7916
0.45,84,stable_dynamic,False,,,QUIET,0.9712,0.9926
0.45,84,noisy_dynamic_recoverable,False,,,QUIET,0.9416,0.9879
0.45,84,critical_slowing_dynamic,True,820,-20,MISS,0.3415,0.7598
0.45,84,abrupt_collapse_dynamic,True,860,-60,MISS,0.2948,0.7933
0.45,85,stable_dynamic,False,,,QUIET,0.9712,0.9933
0.45,85,noisy_dynamic_recoverable,False,,,QUIET,0.9512,0.9912
0.45,85,critical_slowing_dynamic,True,840,-40,MISS,0.3381,0.762
