seed,probe_index,true_recovery_time,ac_risk,rl_risk,mean_risk,ac_rl_equal,ac_rl_fitted
63,320,2.199273117867479,0.6263011368788066,0.17607990600676626,0.38756865201392066,0.40119052144278644,0.24848087750781028
63,370,2.745624788447456,0.5673086477109174,0.14995836305507093,0.3165561001625629,0.35863350538299416,0.21707329232394085
63,420,3.555585707820449,0.4777261272759603,0.11922963356097638,0.27119672662473704,0.29847788041846834,0.17688016766486386
63,470,4.886657343860002,0.6945611740246923,0.21529682331366362,0.5056942576697353,0.45492899866917796,0.2923682766746838
64,120,1.0743511113676965,0.32781926493943137,0.08228469417420192,0.17171040122338807,0.20505197955681664,0.12176959679876723
64,170,1.2675745837390786,0.4719642300319784,0.11752924196692238,0.33231180894476386,0.2947467359994504,0.17452663727004253
64,220,1.5044948573296935,0.35326926992058016,0.08767894220284977,0.24686487178068967,0.22047410606171497,0.130389050988256
64,270,1.804454873038303,0.2974115541608796,0.07618244321554091,0.2798693084253432,0.18679699868821026,0.11175873650968612
64,320,2.199273117867479,0.47538349352536446,0.11853489271536566,0.24375132919573442,0.29695919312036506,0.17592042588400292
64,370,2.745624788447456,0.6001799369224602,0.16379324883964508,0.25779894643642876,0.38198659288105263,0.2339694600017051
64,420,3.555585707820449,0.5746069293408849,0.15288905119322194,0.3272493963491738,0.3637479902670534,0.2207063418574367
64,470,4.886657343860002,0.6332687769130297,0.1795782407505393,0.3963401269308953,0.4064235088317845,0.2525371181348216
65,120,1.0743511113676965,0.3591470930512679,0.08896613169937195,0.14658910467970837,0.22405661237531993,0.13241446940897883
65,170,1.2675745837390786,0.4977887462983206,0.1253793514994136,0.246738006993648,0.3115840488988671,0.18526724689548824
65,220,1.5044948573296935,0.6655348572126852,0.19717477530146776,0.3765666921236085,0.4313548162570765,0.27249269151123967
65,270,1.804454873038303,0.6059689963118432,0.16640971469558397,0.27287020529761963,0.3861893555037136,0.23709611693316118
65,320,2.199273117867479,0.628156682705068,0.17700191188325975,0.377037128350859,0.40257929729416386,0.24955300780017664
65,370,2.745624788447456,0.7879576952330694,0.2955861216777732,0.48664276871417583,0.5417719084554213,0.37476537361099216
65,420,3.555585707820449,0.7085437596264851,0.2249498855544807,0.3853720811719861,0.4667468225904829,0.3027175781773943
65,470,4.886657343860002,0.7017294292125767,0.22016375097395846,0.4535513737008001,0.4609465900932676,0.2976052853913892
66,120,1.0743511113676965,0.14682944810398768,0.04954214186050987,0.14834671795809548,0.09818579498224878,0.06518710705485298
66,170,1.2675745837390786,0.46125133966249854,0.11444106912073371,0.3012225056847811,0.2878462043916161,0.17021231843549592
66,220,1.5044948573296935,0.4779955843155269,0.11930984726809546,0.20635749770944906,0.2986527157918112,0.17699081396862604
66,270,1.804454873038303,0.4998190765125272,0.12602250040985885,0.3210540054706022,0.31292078846119303,0.18613347119010823
66,320,2.199273117867479,0.5770951400123551,0.15390578909634967,0.32460422355788465,0.36550046455435237,0.22195971022279068
66,370,2.745624788447456,0.574357759890351,0.15278773403719903,0.3433712582879495,0.363572746963775,0.2205812482798965
66,420,3.555585707820449,0.6472361957056048,0.18690052071983343,0.4108972445689794,0.4170683582127191,0.26092801609361604
66,470,4.886657343860002,0.6970444039598827,0.2169639029146233,0.3669038975942887,0.457004153437253,0.2941666030339866
67,120,1.0743511113676965,0.33553500951578485,0.08389057805395317,0.17869747064102093,0.209712793784869,0.12435801952794866
67,170,1.2675745837390786,0.5307453082759949,0.1363376668445262,0.3965798712363948,0.33354148756026053,0.19976314402996273
67,220,1.5044948573296935,0.5923874016877301,0.16036062837740217,0.3408956419507581,0.3763740150325661,0.22983571297424354
67,270,1.804454873038303,0.5610646027130839,0.14751019959072664,0.37184851285814946,0.35428740115190527,0.21401470560124608
67,320,2.199273117867479,0.6614425996355522,0.19480567338334187,0.34873139188888946,0.42812413650944703,0.2698464855047126
67,370,2.745624788447456,0.6819725309727419,0.20713973415093,0.3156870086666845,0.44455613256183596,0.2834985405179
67,420,3.555585707820449,0.7588253765618411,0.26596904867354787,0.5104197304556143,0.5123972126176946,0.3452262549150973
67,470,4.886657343860002,0.7940489181989225,0.3024709976661698,0.43043938459704234,0.5482599579325462,0.3815226206784789
68,120,1.0743511113676965,0.28453908873573863,0.07369823272085496,0.23780869557242465,0.1791186607282968,0.1076039700802908
68,170,1.2675745837390786,0.31431993623445975,0.07953273521672932,0.15568267275137188,0.19692633572559454,0.11728933193867715
68,220,1.5044948573296935,0.48554376342173944,0.12158263812943937,0.2826523283953876,0.3035632007755894,0.18011195050490378
68,270,1.804454873038303,0.5265794716285352,0.1348885050772456,0.24631216780947449,0.3307339883528904,0.1978771083724916
68,320,2.199273117867479,0.5900610430205889,0.1593551128849654,0.35980229328753255,0.37470807795277716,0.22861779006409372
68,370,2.745624788447456,0.7547404625717865,0.26220474803709015,0.46447595414963916,0.5084726053044384,0.34141039580763705
68,420,3.555585707820449,0.7566179003202258,0.26392403274965404,0.35624661205064634,0.5102709665349399,0.3431551134244224
68,470,4.886657343860002,0.5932080522438142,0.16071741823843066,0.28304898452095195,0.37696273524112245,0.23026709719613353
69,120,1.0743511113676965,0.3911446613182038,0.09627624569743176,0.20509718657487483,0.24371045350781778,0.14369462202448052
69,170,1.2675745837390786,0.2517172786866355,0.06759274443736263,0.18377799956664825,0.15965501156199907,0.09720217696235482
69,220,1.5044948573296935,0.3724069048330133,0.09193135146535492,0.25063127732581986,0.2321691281491841,0.13703518299009004
69,270,1.804454873038303,0.49075712454239273,0.12318215045950232,0.2670280544022511,0.3069696375009475,0.18229261304591932
69,320,2.199273117867479,0.3935385108706664,0.09684513901172798,0.23380010794324138,0.24519182494119718,0.14455699018076545
69,370,2.745624788447456,0.5737712972637936,0.15254962312693332,0.3533812514032677,0.36316046019536347,0.22028711823735947
69,420,3.555585707820449,0.6415460247393363,0.18386599704982143,0.3156681140325287,0.41270601089457887,0.25746643250055096
69,470,4.886657343860002,0.7391024595767881,0.2485591514427662,0.5186987253463464,0.49383080550977715,0.32744439637767975
70,120,1.0743511113676965,0.26854007784456324,0.07068361107930787,0.1074436268576838,0.16961184446193556,0.10250130298118067
70,170,1.2675745837390786,0.2838601528276168,0.07356870709826913,0.14065937738234313,0.17871442996294296,0.107386092697064
70,220,1.5044948573296935,0.2681826955586203,0.07061713859596808,0.23043962650409497,0.16939991707729418,0.10238804871394576
70,270,1.804454873038303,0.31484328188236166,0.07963810649091507,0.2663154291990828,0.19724069418663837,0.1174619185031347
70,320,2.199273117867479,0.5126216351167716,0.13017150914963826,0.3128816490729737,0.32139657213320494,0.19167407449309043
70,370,2.745624788447456,0.6748105992883578,0.2027068577288762,0.3978052216095598,0.438758728508617,0.2786267992917808
70,420,3.555585707820449,0.7476877496546812,0.2559051160178857,0.3332337829399865,0.5017964328362834,0.3349896593515732
70,470,4.886657343860002,0.753090505957231,0.26070869804106755,0.3636224665363971,0.5068996019991493,0.33988959578221084
71,120,1.0743511113676965,0.28018137855587644,0.07286940224532645,0.14944912788897796,0.17652539040060145,0.10620765344155046
71,170,1.2675745837390786,0.43886603034678506,0.1082765416291247,0.3192096029762029,0.2735712859879549,0.16143929476013982
71,220,1.5044948573296935,0.4827463163062261,0.12073445351586909,0.2144905866096835,0.3017403849110476,0.17895030111185636
71,270,1.804454873038303,0.48248615861462607,0.1206559273064518,0.20291553227536907,0.30157104296053894,0.1788425663825749
