seed,probe_index,rho,mean_risk,va_risk,ac_risk,measured_recovery_time,theoretical_recovery_time
11,370,0.6947412353923206,0.3181134400498531,0.3482727273451074,0.5268353802567052,13.0,2.745624788447456
11,420,0.7548414023372287,0.2281891766592969,0.0,0.5848897857003346,17.0,3.555585707820449
11,470,0.8149415692821369,0.4230478760886527,0.4685617250829329,0.6405547234507103,23.0,4.886657343860002
12,120,0.39424040066777966,0.2172739378883895,0.0,0.47202991224055457,5.0,1.0743511113676965
12,170,0.4543405676126878,0.18742072106531363,0.0,0.3389449337049043,6.0,1.2675745837390786
12,220,0.514440734557596,0.2866422294290413,0.268177519100953,0.4521344058916785,7.0,1.5044948573296935
12,270,0.5745409015025041,0.3628479739831473,0.24234763136009174,0.5357155972167076,9.0,1.804454873038303
12,320,0.6346410684474123,0.2623548985570883,0.0006993462525713978,0.5426206096283354,11.0,2.199273117867479
12,370,0.6947412353923206,0.2737681890019777,0.0,0.5315702556115685,13.0,2.745624788447456
12,420,0.7548414023372287,0.3420590421934914,0.1927592850541333,0.6358972436027442,17.0,3.555585707820449
12,470,0.8149415692821369,0.46572176802982357,0.055194157250538,0.796762427542786,23.0,4.886657343860002
13,120,0.39424040066777966,0.23454358562284297,0.0,0.344275017741839,5.0,1.0743511113676965
13,170,0.4543405676126878,0.30457325660146484,0.44460203732124015,0.3260378245161015,6.0,1.2675745837390786
13,220,0.514440734557596,0.3361365161745321,0.1738485144140769,0.5186543805420601,7.0,1.5044948573296935
13,270,0.5745409015025041,0.30130044195676237,0.0,0.5152966420691535,9.0,1.804454873038303
13,320,0.6346410684474123,0.2814724783761503,0.0,0.469614004800778,11.0,2.199273117867479
13,370,0.6947412353923206,0.42820841941888554,0.3888651459523892,0.6292684724252936,13.0,2.745624788447456
13,420,0.7548414023372287,0.27623208274358413,0.0,0.5906232859050093,17.0,3.555585707820449
13,470,0.8149415692821369,0.3456945140785372,0.44779106264516744,0.6860273511944935,23.0,4.886657343860002
14,120,0.39424040066777966,0.2420022122551871,0.26454624131883575,0.2995662860293288,5.0,1.0743511113676965
14,170,0.4543405676126878,0.14117025050828585,0.0,0.29717230701326125,6.0,1.2675745837390786
14,220,0.514440734557596,0.2917954067156304,0.5232218380770561,0.4095285118654943,7.0,1.5044948573296935
14,270,0.5745409015025041,0.2430585176746917,0.0,0.530832962683343,9.0,1.804454873038303
14,320,0.6346410684474123,0.3252185933498807,0.37600912608285364,0.5523211976395922,11.0,2.199273117867479
14,370,0.6947412353923206,0.26964570993390735,0.0,0.6268669671979669,13.0,2.745624788447456
14,420,0.7548414023372287,0.41631461803496583,0.3485179127654121,0.7436816833120404,17.0,3.555585707820449
14,470,0.8149415692821369,0.35444876713168627,0.0,0.7144589041343868,23.0,4.886657343860002
15,120,0.39424040066777966,0.27211774920607723,0.3150868921388371,0.5128467152117517,5.0,1.0743511113676965
15,170,0.4543405676126878,0.2148105919797511,0.0,0.4917321032510499,6.0,1.2675745837390786
15,220,0.514440734557596,0.19597724912345657,0.14178784514700504,0.35178492591113253,7.0,1.5044948573296935
15,270,0.5745409015025041,0.44855558251040284,0.4269383722676309,0.5769364914118628,9.0,1.804454873038303
15,320,0.6346410684474123,0.35085349866502213,0.0,0.6997898468377793,11.0,2.199273117867479
15,370,0.6947412353923206,0.315191391957398,0.0,0.7064926715985728,13.0,2.745624788447456
15,420,0.7548414023372287,0.39994271653559077,0.0,0.6793032482570915,17.0,3.555585707820449
15,470,0.8149415692821369,0.26919547540313776,0.0,0.6138924011171604,23.0,4.886657343860002
16,120,0.39424040066777966,0.2678133130329125,0.3268586091759328,0.31450906468667883,5.0,1.0743511113676965
16,170,0.4543405676126878,0.26902726234796764,0.11684082482366154,0.48906200229084007,6.0,1.2675745837390786
16,220,0.514440734557596,0.33744719528043365,0.0,0.5652750817696406,7.0,1.5044948573296935
16,270,0.5745409015025041,0.27286653514104275,0.0,0.4748841662990232,9.0,1.804454873038303
16,320,0.6346410684474123,0.26594891177173785,0.2878812630928973,0.37033421287585366,11.0,2.199273117867479
16,370,0.6947412353923206,0.3707911070362234,0.4649149366634646,0.6246063242761261,13.0,2.745624788447456
16,420,0.7548414023372287,0.28920341752068335,0.0,0.701954008113945,17.0,3.555585707820449
16,470,0.8149415692821369,0.45493125096383,0.5173900295725593,0.7177153258365258,23.0,4.886657343860002
17,120,0.39424040066777966,0.18652594741293263,0.08220272057519296,0.1647762999696969,5.0,1.0743511113676965
17,170,0.4543405676126878,0.1146731006808801,0.0,0.13351211806118268,6.0,1.2675745837390786
17,220,0.514440734557596,0.2556629496950603,0.178279713582163,0.37624835276365576,7.0,1.5044948573296935
17,270,0.5745409015025041,0.19087027578997254,0.0,0.45316492878689374,9.0,1.804454873038303
17,320,0.6346410684474123,0.441038839817056,0.5169697086587808,0.5680317718342087,11.0,2.199273117867479
17,370,0.6947412353923206,0.5758085631865927,0.6714274956379799,0.8154678563870426,13.0,2.745624788447456
17,420,0.7548414023372287,0.43418928427118886,0.0,0.8209527137417545,17.0,3.555585707820449
17,470,0.8149415692821369,0.42008454425954184,0.0,0.7252880475203987,23.0,4.886657343860002
18,120,0.39424040066777966,0.1334263409640319,0.0,0.19613621042259877,5.0,1.0743511113676965
18,170,0.4543405676126878,0.2563128836506233,0.2473501855567508,0.35443229135875276,6.0,1.2675745837390786
18,220,0.514440734557596,0.3348027478812082,0.29474423969679586,0.4949396648774351,7.0,1.5044948573296935
18,270,0.5745409015025041,0.23669398966532168,0.0,0.5390413838614813,9.0,1.804454873038303
18,320,0.6346410684474123,0.3642232781831602,0.2928967223480293,0.6340883370993573,11.0,2.199273117867479
18,370,0.6947412353923206,0.410952762639831,0.3459321381758783,0.7286837034440082,13.0,2.745624788447456
18,420,0.7548414023372287,0.3420811675499895,0.0,0.7532028785668747,17.0,3.555585707820449
18,470,0.8149415692821369,0.3495482349651695,0.0,0.6772566483650562,23.0,4.886657343860002
19,120,0.39424040066777966,0.30197248539206256,0.4230598707675729,0.4382496319574535,5.0,1.0743511113676965
19,170,0.4543405676126878,0.2035884233502563,0.0,0.4467230759589559,6.0,1.2675745837390786
19,220,0.514440734557596,0.24796937715506812,0.17140811635858344,0.3957812870701354,7.0,1.5044948573296935
19,270,0.5745409015025041,0.22876277006822923,0.0,0.5011501194650197,9.0,1.804454873038303
19,320,0.6346410684474123,0.32110430832372955,0.30525129067629087,0.5670761572133078,11.0,2.199273117867479
19,370,0.6947412353923206,0.38378818472865933,0.12194086553934669,0.612587040841689,13.0,2.745624788447456
19,420,0.7548414023372287,0.36818071785545936,0.06693152785828693,0.6570687646521646,17.0,3.555585707820449
19,470,0.8149415692821369,0.3645110219174697,0.0,0.7591424830349568,23.0,4.886657343860002
20,120,0.39424040066777966,0.18094003069002904,0.0,0.33402176582104126,5.0,1.0743511113676965
20,170,0.4543405676126878,0.19771829683352865,0.0,0.4159079572464601,6.0,1.2675745837390786
20,220,0.514440734557596,0.2878157500673503,0.3674949923616534,0.42119217689121413,7.0,1.5044948573296935
20,270,0.5745409015025041,0.18534360884139664,0.0,0.5472929302154859,9.0,1.804454873038303
20,320,0.6346410684474123,0.34779723603282026,0.12491872368812262,0.5589584505819759,11.0,2.199273117867479
20,370,0.6947412353923206,0.41350421678915267,0.20293027136745434,0.6342786196539947,13.0,2.745624788447456
20,420,0.7548414023372287,0.4662900156242792,0.4249237221787665,0.6860199306667952,17.0,3.555585707820449
20,470,0.8149415692821369,0.414348211033763,0.0,0.7842690840305471,23.0,4.886657343860002
21,120,0.39424040066777966,0.28051433827178884,0.42353336437484124,0.31707481054037623,5.0,1.0743511113676965
21,170,0.4543405676126878,0.2583645995572447,0.0,0.4565178893366926,6.0,1.2675745837390786
21,220,0.514440734557596,0.2882332364013833,0.09868252500634245,0.524338535140215,7.0,1.5044948573296935
21,270,0.5745409015025041,0.23419591495957146,0.0,0.5704043022810081,9.0,1.804454873038303
21,320,0.6346410684474123,0.2752525372736369,0.0,0.5515636924514594,11.0,2.199273117867479
21,370,0.6947412353923206,0.5062884140226681,0.4655661438267813,0.7236424229556009,13.0,2.745624788447456
21,420,0.7548414023372287,0.5270197279712633,0.4811986673796025,0.821028920389439,17.0,3.555585707820449
21,470,0.8149415692821369,0.46073407232629293,0.17410567447980152,0.8769552650325532,23.0,4.886657343860002
22,120,0.39424040066777966,0.17759808169245042,0.0,0.3889187746917032,5.0,1.0743511113676965
22,170,0.4543405676126878,0.1692777272693618,0.047491880849990786,0.4360980642733986,6.0,1.2675745837390786
22,220,0.514440734557596,0.16045762405800565,0.0,0.4457695497540859,7.0,1.5044948573296935
22,270,0.5745409015025041,0.26427924237626427,0.20031928617323191,0.4637574634424536,9.0,1.804454873038303
22,320,0.6346410684474123,0.4126029459601549,0.3747112100675746,0.5802589101809356,11.0,2.199273117867479
22,370,0.6947412353923206,0.42905847313798356,0.19331469131304502,0.6672931425980965,13.0,2.745624788447456
22,420,0.7548414023372287,0.31357956895703876,0.0,0.6042445040853824,17.0,3.555585707820449
22,470,0.8149415692821369,0.6176405528636874,0.7206217822547195,0.8416749016965716,23.0,4.886657343860002
23,120,0.39424040066777966,0.19401694651313026,0.13563623565487415,0.421115184922903,5.0,1.0743511113676965
23,170,0.4543405676126878,0.20118527542758907,0.0,0.5029856349949285,6.0,1.2675745837390786
23,220,0.514440734557596,0.284941073449163,0.19610850664324442,0.4425370197438061,7.0,1.5044948573296935
23,270,0.5745409015025041,0.40647660029224253,0.32636616862097134,0.654647459966797,9.0,1.804454873038303
23,320,0.6346410684474123,0.33491253236823065,0.0,0.7638172887320139,11.0,2.199273117867479
23,370,0.6947412353923206,0.3449308267210072,0.0,0.6833720205215656,13.0,2.745624788447456
23,420,0.7548414023372287,0.37613705086953697,0.33886971113106434,0.5662127991978896,17.0,3.555585707820449
23,470,0.8149415692821369,0.43113893868900705,0.045730210313265074,0.7417008974794981,23.0,4.886657343860002
24,120,0.39424040066777966,0.1571802849047708,0.0,0.27985606187877965,5.0,1.0743511113676965
24,170,0.4543405676126878,0.14914425389869326,0.0,0.24413993547302382,6.0,1.2675745837390786
24,220,0.514440734557596,0.3201671888160072,0.4364971495989578,0.42180133461179037,7.0,1.5044948573296935
24,270,0.5745409015025041,0.2586648956482699,0.0,0.554052407950127,9.0,1.804454873038303
24,320,0.6346410684474123,0.37993510852202944,0.09353058606425424,0.6397286420096651,11.0,2.199273117867479
24,370,0.6947412353923206,0.3178690562216385,0.07205972707228758,0.576096971308472,13.0,2.745624788447456
24,420,0.7548414023372287,0.4212217031173296,0.2383475363428098,0.7107275823703583,17.0,3.555585707820449
24,470,0.8149415692821369,0.3713261604611945,0.0,0.7008988668569078,23.0,4.886657343860002
25,120,0.39424040066777966,0.3050875896221429,0.0,0.4840562149170454,5.0,1.0743511113676965
25,170,0.4543405676126878,0.25348781551540667,0.2281602650837964,0.3802167746100166,6.0,1.2675745837390786
25,220,0.514440734557596,0.2460061443539662,0.0,0.46307415596704493,7.0,1.5044948573296935
25,270,0.5745409015025041,0.31307741502823083,0.15336074447023773,0.4728905137623469,9.0,1.804454873038303
25,320,0.6346410684474123,0.19970207463183112,0.0,0.4624663458790521,11.0,2.199273117867479
25,370,0.6947412353923206,0.38161427079412924,0.42443724800282334,0.6186380651103102,13.0,2.745624788447456
25,420,0.7548414023372287,0.30026793981338973,0.0,0.5978206858962459,17.0,3.555585707820449
25,470,0.8149415692821369,0.3929362139374878,0.44088825120185127,0.6171470402524278,23.0,4.886657343860002
26,120,0.39424040066777966,0.1647303503705669,0.0,0.3001732559477519,5.0,1.0743511113676965
26,170,0.4543405676126878,0.2779223194823639,0.3778484428802634,0.33351687334259617,6.0,1.2675745837390786
26,220,0.514440734557596,0.18629423275391083,0.08016202385879478,0.3448679643640149,7.0,1.5044948573296935
26,270,0.5745409015025041,0.2506897904041104,0.042957018218704346,0.4348412871593057,9.0,1.804454873038303
26,320,0.6346410684474123,0.25899774747111737,0.0,0.4644051943207763,11.0,2.199273117867479
26,370,0.6947412353923206,0.2858091751121215,0.10428430119701115,0.5504802114558283,13.0,2.745624788447456
26,420,0.7548414023372287,0.2488277188770894,0.08854853775145988,0.5020180632738928,17.0,3.555585707820449
26,470,0.8149415692821369,0.5313127307431067,0.6338709140610206,0.7496421177558752,23.0,4.886657343860002
27,120,0.39424040066777966,0.19092002834269,0.40354539497149244,0.20932386274185888,5.0,1.0743511113676965
27,170,0.4543405676126878,0.14327962163038088,0.0,0.33319576621632674,6.0,1.2675745837390786
27,220,0.514440734557596,0.3475155970695547,0.3479596534020031,0.4816472517612498,7.0,1.5044948573296935
27,270,0.5745409015025041,0.2813156592942024,0.27094779039735906,0.5244199359107453,9.0,1.804454873038303
27,320,0.6346410684474123,0.22779431505779027,0.0,0.5588730469986007,11.0,2.199273117867479
27,370,0.6947412353923206,0.30292577240210417,0.10126176523353725,0.6250363362704258,13.0,2.745624788447456
27,420,0.7548414023372287,0.43928996335747106,0.3041412844147384,0.720950107657392,17.0,3.555585707820449
27,470,0.8149415692821369,0.39277078145074207,0.0,0.7327795579271459,23.0,4.886657343860002
28,120,0.39424040066777966,0.15359179101083578,0.05876705735371579,0.3257682359538502,5.0,1.0743511113676965
28,170,0.4543405676126878,0.2189786564267801,0.0,0.4913975843505254,6.0,1.2675745837390786
28,220,0.514440734557596,0.27603677470825316,0.0,0.4850606544017493,7.0,1.5044948573296935
28,270,0.5745409015025041,0.2659626225055163,0.10197534158329546,0.43745274499390696,9.0,1.804454873038303
28,320,0.6346410684474123,0.2802323754571356,0.0,0.5494078564693134,11.0,2.199273117867479
28,370,0.6947412353923206,0.2517234725861813,0.025866138378925596,0.47846970639082886,13.0,2.745624788447456
28,420,0.7548414023372287,0.3752407277241837,0.4872627564385815,0.5967248736645238,17.0,3.555585707820449
28,470,0.8149415692821369,0.32201491281286626,0.0,0.6824486030154193,23.0,4.886657343860002
29,120,0.39424040066777966,0.19146799558103844,0.0,0.3088607066375193,5.0,1.0743511113676965
29,170,0.4543405676126878,0.12601441175719136,0.10844000980999613,0.17504260825595497,6.0,1.2675745837390786
29,220,0.514440734557596,0.17300048004377236,0.0,0.2836734936125902,7.0,1.5044948573296935
29,270,0.5745409015025041,0.20410366058138943,0.0,0.32629919983290523,9.0,1.804454873038303
29,320,0.6346410684474123,0.3426783665857833,0.35188389620796456,0.4685066410947172,11.0,2.199273117867479
29,370,0.6947412353923206,0.5104276282081358,0.509631984302996,0.7506513024498053,13.0,2.745624788447456
29,420,0.7548414023372287,0.3444292851811508,0.0,0.6773225436512859,17.0,3.555585707820449
29,470,0.8149415692821369,0.4042809388916271,0.37437661121734067,0.6013774303955216,23.0,4.886657343860002
30,120,0.39424040066777966,0.23400742362650623,0.06090225245249714,0.3976097171360564,5.0,1.0743511113676965
30,170,0.4543405676126878,0.18922854698278832,0.01674138006308712,0.38661559180202776,6.0,1.2675745837390786
30,220,0.514440734557596,0.24975659804443748,0.2768013411586382,0.39856102706994534,7.0,1.5044948573296935
30,270,0.5745409015025041,0.22009189429834777,0.0,0.5306538250589439,9.0,1.804454873038303
30,320,0.6346410684474123,0.37920662541115907,0.0936707514247872,0.7055395674419354,11.0,2.199273117867479
30,370,0.6947412353923206,0.3463304205199197,0.0,0.6891743858370862,13.0,2.745624788447456
