system,seed,has_collapse,metric,threshold,alert_index,lead_time,detected_before_collapse,false_positive
ar_degrade,2,True,va_risk,0.35,233,187,True,False
ar_degrade,2,True,va_risk,0.4,233,187,True,False
ar_degrade,2,True,va_risk,0.45,234,186,True,False
ar_degrade,2,True,va_risk,0.5,238,182,True,False
ar_degrade,2,True,va_risk,0.55,245,175,True,False
ar_degrade,2,True,va_risk,0.6,418,2,True,False
ar_degrade,2,True,va_risk,0.65,438,-18,False,False
ar_degrade,2,True,va_risk,0.7,440,-20,False,False
ar_degrade,2,True,va_risk,0.75,442,-22,False,False
ar_degrade,2,True,va_risk,0.8,472,-52,False,False
ar_degrade,2,True,va_risk,0.85,474,-54,False,False
ar_degrade,2,True,va_risk,0.9,,,False,False
ar_degrade,3,True,mean_risk,0.3,247,173,True,False
ar_degrade,3,True,mean_risk,0.35,312,108,True,False
ar_degrade,3,True,mean_risk,0.4,327,93,True,False
ar_degrade,3,True,mean_risk,0.45,327,93,True,False
ar_degrade,3,True,mean_risk,0.5,411,9,True,False
ar_degrade,3,True,mean_risk,0.55,412,8,True,False
ar_degrade,3,True,mean_risk,0.6,458,-38,False,False
ar_degrade,3,True,mean_risk,0.65,461,-41,False,False
ar_degrade,3,True,mean_risk,0.7,465,-45,False,False
ar_degrade,3,True,mean_risk,0.75,470,-50,False,False
ar_degrade,3,True,mean_risk,0.8,497,-77,False,False
ar_degrade,3,True,mean_risk,0.85,586,-166,False,False
ar_degrade,3,True,mean_risk,0.9,,,False,False
ar_degrade,3,True,recovery_core_risk,0.3,157,263,True,False
ar_degrade,3,True,recovery_core_risk,0.35,175,245,True,False
ar_degrade,3,True,recovery_core_risk,0.4,222,198,True,False
ar_degrade,3,True,recovery_core_risk,0.45,279,141,True,False
ar_degrade,3,True,recovery_core_risk,0.5,325,95,True,False
ar_degrade,3,True,recovery_core_risk,0.55,327,93,True,False
ar_degrade,3,True,recovery_core_risk,0.6,411,9,True,False
ar_degrade,3,True,recovery_core_risk,0.65,412,8,True,False
ar_degrade,3,True,recovery_core_risk,0.7,458,-38,False,False
ar_degrade,3,True,recovery_core_risk,0.75,461,-41,False,False
ar_degrade,3,True,recovery_core_risk,0.8,464,-44,False,False
ar_degrade,3,True,recovery_core_risk,0.85,471,-51,False,False
ar_degrade,3,True,recovery_core_risk,0.9,498,-78,False,False
ar_degrade,3,True,ac_rl_core,0.3,204,216,True,False
ar_degrade,3,True,ac_rl_core,0.35,271,149,True,False
ar_degrade,3,True,ac_rl_core,0.4,327,93,True,False
ar_degrade,3,True,ac_rl_core,0.45,410,10,True,False
ar_degrade,3,True,ac_rl_core,0.5,415,5,True,False
ar_degrade,3,True,ac_rl_core,0.55,458,-38,False,False
ar_degrade,3,True,ac_rl_core,0.6,460,-40,False,False
ar_degrade,3,True,ac_rl_core,0.65,463,-43,False,False
ar_degrade,3,True,ac_rl_core,0.7,466,-46,False,False
ar_degrade,3,True,ac_rl_core,0.75,471,-51,False,False
ar_degrade,3,True,ac_rl_core,0.8,496,-76,False,False
ar_degrade,3,True,ac_rl_core,0.85,501,-81,False,False
ar_degrade,3,True,ac_rl_core,0.9,510,-90,False,False
ar_degrade,3,True,ac_risk,0.3,136,284,True,False
ar_degrade,3,True,ac_risk,0.35,159,261,True,False
ar_degrade,3,True,ac_risk,0.4,174,246,True,False
ar_degrade,3,True,ac_risk,0.45,182,238,True,False
ar_degrade,3,True,ac_risk,0.5,219,201,True,False
ar_degrade,3,True,ac_risk,0.55,270,150,True,False
ar_degrade,3,True,ac_risk,0.6,325,95,True,False
ar_degrade,3,True,ac_risk,0.65,389,31,True,False
ar_degrade,3,True,ac_risk,0.7,411,9,True,False
ar_degrade,3,True,ac_risk,0.75,416,4,True,False
ar_degrade,3,True,ac_risk,0.8,459,-39,False,False
ar_degrade,3,True,ac_risk,0.85,461,-41,False,False
ar_degrade,3,True,ac_risk,0.9,466,-46,False,False
ar_degrade,3,True,rl_risk,0.3,458,-38,False,False
ar_degrade,3,True,rl_risk,0.35,460,-40,False,False
ar_degrade,3,True,rl_risk,0.4,462,-42,False,False
ar_degrade,3,True,rl_risk,0.45,464,-44,False,False
ar_degrade,3,True,rl_risk,0.5,466,-46,False,False
ar_degrade,3,True,rl_risk,0.55,470,-50,False,False
ar_degrade,3,True,rl_risk,0.6,494,-74,False,False
ar_degrade,3,True,rl_risk,0.65,496,-76,False,False
ar_degrade,3,True,rl_risk,0.7,498,-78,False,False
ar_degrade,3,True,rl_risk,0.75,502,-82,False,False
ar_degrade,3,True,rl_risk,0.8,507,-87,False,False
ar_degrade,3,True,rl_risk,0.85,516,-96,False,False
ar_degrade,3,True,rl_risk,0.9,560,-140,False,False
ar_degrade,3,True,va_risk,0.3,112,308,True,False
ar_degrade,3,True,va_risk,0.35,158,262,True,False
ar_degrade,3,True,va_risk,0.4,332,88,True,False
ar_degrade,3,True,va_risk,0.45,333,87,True,False
ar_degrade,3,True,va_risk,0.5,336,84,True,False
ar_degrade,3,True,va_risk,0.55,339,81,True,False
ar_degrade,3,True,va_risk,0.6,458,-38,False,False
ar_degrade,3,True,va_risk,0.65,463,-43,False,False
ar_degrade,3,True,va_risk,0.7,464,-44,False,False
ar_degrade,3,True,va_risk,0.75,468,-48,False,False
ar_degrade,3,True,va_risk,0.8,469,-49,False,False
ar_degrade,3,True,va_risk,0.85,470,-50,False,False
ar_degrade,3,True,va_risk,0.9,499,-79,False,False
ar_degrade,4,True,mean_risk,0.3,125,295,True,False
ar_degrade,4,True,mean_risk,0.35,128,292,True,False
ar_degrade,4,True,mean_risk,0.4,338,82,True,False
ar_degrade,4,True,mean_risk,0.45,380,40,True,False
ar_degrade,4,True,mean_risk,0.5,383,37,True,False
ar_degrade,4,True,mean_risk,0.55,390,30,True,False
ar_degrade,4,True,mean_risk,0.6,402,18,True,False
ar_degrade,4,True,mean_risk,0.65,468,-48,False,False
ar_degrade,4,True,mean_risk,0.7,472,-52,False,False
ar_degrade,4,True,mean_risk,0.75,475,-55,False,False
ar_degrade,4,True,mean_risk,0.8,503,-83,False,False
ar_degrade,4,True,mean_risk,0.85,584,-164,False,False
ar_degrade,4,True,mean_risk,0.9,,,False,False
ar_degrade,4,True,recovery_core_risk,0.3,125,295,True,False
ar_degrade,4,True,recovery_core_risk,0.35,129,291,True,False
ar_degrade,4,True,recovery_core_risk,0.4,176,244,True,False
ar_degrade,4,True,recovery_core_risk,0.45,295,125,True,False
ar_degrade,4,True,recovery_core_risk,0.5,318,102,True,False
ar_degrade,4,True,recovery_core_risk,0.55,380,40,True,False
ar_degrade,4,True,recovery_core_risk,0.6,389,31,True,False
ar_degrade,4,True,recovery_core_risk,0.65,465,-45,False,False
ar_degrade,4,True,recovery_core_risk,0.7,467,-47,False,False
ar_degrade,4,True,recovery_core_risk,0.75,468,-48,False,False
ar_degrade,4,True,recovery_core_risk,0.8,472,-52,False,False
ar_degrade,4,True,recovery_core_risk,0.85,476,-56,False,False
ar_degrade,4,True,recovery_core_risk,0.9,503,-83,False,False
ar_degrade,4,True,ac_rl_core,0.3,175,245,True,False
ar_degrade,4,True,ac_rl_core,0.35,303,117,True,False
ar_degrade,4,True,ac_rl_core,0.4,381,39,True,False
ar_degrade,4,True,ac_rl_core,0.45,389,31,True,False
ar_degrade,4,True,ac_rl_core,0.5,391,29,True,False
ar_degrade,4,True,ac_rl_core,0.55,466,-46,False,False
ar_degrade,4,True,ac_rl_core,0.6,468,-48,False,False
ar_degrade,4,True,ac_rl_core,0.65,470,-50,False,False
ar_degrade,4,True,ac_rl_core,0.7,473,-53,False,False
ar_degrade,4,True,ac_rl_core,0.75,476,-56,False,False
ar_degrade,4,True,ac_rl_core,0.8,480,-60,False,False
ar_degrade,4,True,ac_rl_core,0.85,496,-76,False,False
ar_degrade,4,True,ac_rl_core,0.9,514,-94,False,False
ar_degrade,4,True,ac_risk,0.3,125,295,True,False
ar_degrade,4,True,ac_risk,0.35,127,293,True,False
ar_degrade,4,True,ac_risk,0.4,133,287,True,False
ar_degrade,4,True,ac_risk,0.45,157,263,True,False
ar_degrade,4,True,ac_risk,0.5,177,243,True,False
ar_degrade,4,True,ac_risk,0.55,303,117,True,False
ar_degrade,4,True,ac_risk,0.6,366,54,True,False
ar_degrade,4,True,ac_risk,0.65,382,38,True,False
ar_degrade,4,True,ac_risk,0.7,389,31,True,False
ar_degrade,4,True,ac_risk,0.75,392,28,True,False
ar_degrade,4,True,ac_risk,0.8,466,-46,False,False
ar_degrade,4,True,ac_risk,0.85,468,-48,False,False
ar_degrade,4,True,ac_risk,0.9,473,-53,False,False
ar_degrade,4,True,rl_risk,0.3,466,-46,False,False
ar_degrade,4,True,rl_risk,0.35,467,-47,False,False
ar_degrade,4,True,rl_risk,0.4,469,-49,False,False
ar_degrade,4,True,rl_risk,0.45,471,-51,False,False
ar_degrade,4,True,rl_risk,0.5,474,-54,False,False
ar_degrade,4,True,rl_risk,0.55,476,-56,False,False
ar_degrade,4,True,rl_risk,0.6,477,-57,False,False
ar_degrade,4,True,rl_risk,0.65,480,-60,False,False
ar_degrade,4,True,rl_risk,0.7,488,-68,False,False
ar_degrade,4,True,rl_risk,0.75,500,-80,False,False
ar_degrade,4,True,rl_risk,0.8,511,-91,False,False
ar_degrade,4,True,rl_risk,0.85,521,-101,False,False
ar_degrade,4,True,rl_risk,0.9,575,-155,False,False
ar_degrade,4,True,va_risk,0.3,116,304,True,False
ar_degrade,4,True,va_risk,0.35,116,304,True,False
ar_degrade,4,True,va_risk,0.4,126,294,True,False
ar_degrade,4,True,va_risk,0.45,383,37,True,False
ar_degrade,4,True,va_risk,0.5,386,34,True,False
ar_degrade,4,True,va_risk,0.55,389,31,True,False
ar_degrade,4,True,va_risk,0.6,390,30,True,False
ar_degrade,4,True,va_risk,0.65,390,30,True,False
ar_degrade,4,True,va_risk,0.7,392,28,True,False
ar_degrade,4,True,va_risk,0.75,394,26,True,False
ar_degrade,4,True,va_risk,0.8,472,-52,False,False
ar_degrade,4,True,va_risk,0.85,475,-55,False,False
ar_degrade,4,True,va_risk,0.9,479,-59,False,False
ar_degrade,5,True,mean_risk,0.3,183,237,True,False
ar_degrade,5,True,mean_risk,0.35,320,100,True,False
ar_degrade,5,True,mean_risk,0.4,333,87,True,False
ar_degrade,5,True,mean_risk,0.45,352,68,True,False
ar_degrade,5,True,mean_risk,0.5,442,-22,False,False
ar_degrade,5,True,mean_risk,0.55,443,-23,False,False
ar_degrade,5,True,mean_risk,0.6,444,-24,False,False
ar_degrade,5,True,mean_risk,0.65,449,-29,False,False
ar_degrade,5,True,mean_risk,0.7,467,-47,False,False
ar_degrade,5,True,mean_risk,0.75,469,-49,False,False
ar_degrade,5,True,mean_risk,0.8,489,-69,False,False
ar_degrade,5,True,mean_risk,0.85,573,-153,False,False
ar_degrade,5,True,mean_risk,0.9,,,False,False
ar_degrade,5,True,recovery_core_risk,0.3,105,315,True,False
ar_degrade,5,True,recovery_core_risk,0.35,142,278,True,False
ar_degrade,5,True,recovery_core_risk,0.4,276,144,True,False
ar_degrade,5,True,recovery_core_risk,0.45,301,119,True,False
ar_degrade,5,True,recovery_core_risk,0.5,320,100,True,False
ar_degrade,5,True,recovery_core_risk,0.55,343,77,True,False
ar_degrade,5,True,recovery_core_risk,0.6,386,34,True,False
ar_degrade,5,True,recovery_core_risk,0.65,442,-22,False,False
ar_degrade,5,True,recovery_core_risk,0.7,444,-24,False,False
ar_degrade,5,True,recovery_core_risk,0.75,449,-29,False,False
ar_degrade,5,True,recovery_core_risk,0.8,468,-48,False,False
ar_degrade,5,True,recovery_core_risk,0.85,476,-56,False,False
ar_degrade,5,True,recovery_core_risk,0.9,497,-77,False,False
ar_degrade,5,True,ac_rl_core,0.3,261,159,True,False
ar_degrade,5,True,ac_rl_core,0.35,310,110,True,False
ar_degrade,5,True,ac_rl_core,0.4,329,91,True,False
ar_degrade,5,True,ac_rl_core,0.45,350,70,True,False
ar_degrade,5,True,ac_rl_core,0.5,392,28,True,False
ar_degrade,5,True,ac_rl_core,0.55,444,-24,False,False
ar_degrade,5,True,ac_rl_core,0.6,445,-25,False,False
ar_degrade,5,True,ac_rl_core,0.65,451,-31,False,False
ar_degrade,5,True,ac_rl_core,0.7,468,-48,False,False
ar_degrade,5,True,ac_rl_core,0.75,475,-55,False,False
ar_degrade,5,True,ac_rl_core,0.8,487,-67,False,False
ar_degrade,5,True,ac_rl_core,0.85,502,-82,False,False
ar_degrade,5,True,ac_rl_core,0.9,557,-137,False,False
ar_degrade,5,True,ac_risk,0.3,99,321,True,False
ar_degrade,5,True,ac_risk,0.35,133,287,True,False
ar_degrade,5,True,ac_risk,0.4,138,282,True,False
ar_degrade,5,True,ac_risk,0.45,145,275,True,False
ar_degrade,5,True,ac_risk,0.5,274,146,True,False
ar_degrade,5,True,ac_risk,0.55,299,121,True,False
ar_degrade,5,True,ac_risk,0.6,320,100,True,False
ar_degrade,5,True,ac_risk,0.65,342,78,True,False
ar_degrade,5,True,ac_risk,0.7,351,69,True,False
ar_degrade,5,True,ac_risk,0.75,392,28,True,False
ar_degrade,5,True,ac_risk,0.8,444,-24,False,False
ar_degrade,5,True,ac_risk,0.85,446,-26,False,False
ar_degrade,5,True,ac_risk,0.9,467,-47,False,False
ar_degrade,5,True,rl_risk,0.3,444,-24,False,False
ar_degrade,5,True,rl_risk,0.35,445,-25,False,False
ar_degrade,5,True,rl_risk,0.4,449,-29,False,False
ar_degrade,5,True,rl_risk,0.45,465,-45,False,False
ar_degrade,5,True,rl_risk,0.5,469,-49,False,False
ar_degrade,5,True,rl_risk,0.55,471,-51,False,False
ar_degrade,5,True,rl_risk,0.6,477,-57,False,False
ar_degrade,5,True,rl_risk,0.65,486,-66,False,False
ar_degrade,5,True,rl_risk,0.7,496,-76,False,False
ar_degrade,5,True,rl_risk,0.75,545,-125,False,False
ar_degrade,5,True,rl_risk,0.8,553,-133,False,False
ar_degrade,5,True,rl_risk,0.85,563,-143,False,False
ar_degrade,5,True,rl_risk,0.9,587,-167,False,False
ar_degrade,5,True,va_risk,0.3,169,251,True,False
ar_degrade,5,True,va_risk,0.35,183,237,True,False
ar_degrade,5,True,va_risk,0.4,330,90,True,False
