seed,probe_index,mean_risk,va_risk,ac_risk,true_recovery_time
17,270,0.19087027578997254,0.0,0.45316492878689374,200.0
17,320,0.441038839817056,0.5169697086587808,0.5680317718342087,200.0
17,370,0.5911737342423459,0.7147289062389612,0.8264303963450869,200.0
17,420,0.41500196877167905,0.0,0.7888454837224476,200.0
17,470,0.6247900601096795,0.6378519148799883,0.849142548282317,200.0
18,120,0.1334263409640319,0.0,0.19613621042259877,717.5251765690222
18,170,0.2563128836506233,0.2473501855567508,0.35443229135875276,200.0
18,220,0.3348027478812082,0.29474423969679586,0.4949396648774351,200.0
18,270,0.23669398966532168,0.0,0.5390413838614813,200.0
18,320,0.3642232781831602,0.2928967223480293,0.6340883370993573,200.0
18,370,0.4198097466116515,0.3751709868506298,0.7294461027485436,200.0
18,420,0.38976783751003635,0.102211920865792,0.7254954191514381,200.0
18,470,0.6505745894970609,0.5946350418660182,0.8604468172668849,200.0
19,120,0.30197248539206256,0.4230598707675729,0.4382496319574535,200.0
19,170,0.2035884233502563,0.0,0.4467230759589559,200.0
19,220,0.24796937715506812,0.17140811635858344,0.3957812870701354,200.0
19,270,0.22876277006822923,0.0,0.5011501194650197,200.0
19,320,0.32110430832372955,0.30525129067629087,0.5670761572133078,200.0
19,370,0.3910370570858072,0.21345224943457786,0.6149060066718394,200.0
19,420,0.4645349210622028,0.5150539749522167,0.6776014140944434,200.0
19,470,0.5680094847718831,0.3796450964467394,0.8313908842720569,200.0
20,120,0.18094003069002904,0.0,0.33402176582104126,200.0
20,170,0.19771829683352865,0.0,0.4159079572464601,1292.4908370223159
20,220,0.2878157500673503,0.3674949923616534,0.42119217689121413,200.0
20,270,0.18534360884139664,0.0,0.5472929302154859,200.0
20,320,0.34779723603282026,0.12491872368812262,0.5589584505819759,200.0
20,370,0.43547332229498037,0.28005776998268295,0.6280421777770262,200.0
20,420,0.5167045649476348,0.6720612580465168,0.6837173785924812,200.0
20,470,0.6455238219120777,0.3447191261520096,0.9247134481361039,200.0
21,120,0.28051433827178884,0.42353336437484124,0.31707481054037623,200.0
21,170,0.2583645995572447,0.0,0.4565178893366926,459.2656771094351
21,220,0.2882332364013833,0.09868252500634245,0.524338535140215,200.0
21,270,0.23419591495957146,0.0,0.5704043022810081,200.0
21,320,0.2752525372736369,0.0,0.5515636924514594,200.0
